symb,xymd,open,high,low,clos,diff,rate,gvol
SPI@SPX,20230301,3963.34,3971.73,3939.05,3951.39,-18.76,-0.47,2225253320
SPI@SPX,20230228,3977.19,3997.5,3968.98,3970.15,-12.09,-0.3,2771735400
SPI@SPX,20230227,3992.36,4018.05,3973.55,3982.24,12.2,0.31,2068606140
SPI@SPX,20230224,3973.24,3978.25,3943.08,3970.04,-42.28,-1.05,2180170800
SPI@SPX,20230223,4018.6,4028.3,3969.19,4012.32,21.27,0.53,2308657960
SPI@SPX,20230222,4001.83,4017.37,3976.9,3991.05,-6.29,-0.16,2259720310
SPI@SPX,20230221,4052.35,4052.35,3995.19,3997.34,-81.75,-2.0,2347271200
SPI@SPX,20230217,4077.39,4081.51,4047.95,4079.09,-11.32,-0.28,2380094370
SPI@SPX,20230216,4114.75,4136.54,4089.49,4090.41,-57.19,-1.38,2264834580
SPI@SPX,20230215,4119.5,4148.11,4103.98,4147.6,11.47,0.28,2112266380
SPI@SPX,20230214,4126.7,4159.77,4095.01,4136.13,-1.16,-0.03,2219075510
SPI@SPX,20230213,4096.62,4138.9,4092.67,4137.29,46.83,1.14,2125959560
SPI@SPX,20230210,4068.92,4094.36,4060.79,4090.46,8.96,0.22,2312192920
SPI@SPX,20230209,4144.25,4156.23,4069.67,4081.5,-36.36,-0.88,2652617340
SPI@SPX,20230208,4153.47,4156.85,4111.67,4117.86,-46.14,-1.11,2543426660
SPI@SPX,20230207,4105.35,4176.54,4088.39,4164.0,52.92,1.29,2612787620
SPI@SPX,20230206,4119.57,4124.63,4093.38,4111.08,-25.4,-0.61,2284201080
SPI@SPX,20230203,4136.69,4182.36,4123.36,4136.48,-43.28,-1.04,2899964490
SPI@SPX,20230202,4158.68,4195.44,4141.88,4179.76,60.55,1.47,3391309420
SPI@SPX,20230201,4070.07,4148.95,4037.2,4119.21,42.61,1.05,2939837220
SPI@SPX,20230131,4020.85,4077.16,4020.44,4076.6,58.83,1.46,2865897030
SPI@SPX,20230130,4049.27,4063.85,4015.55,4017.77,-52.79,-1.3,2303537610
SPI@SPX,20230127,4053.72,4094.21,4048.7,4070.56,10.13,0.25,2572664060
SPI@SPX,20230126,4036.08,4061.57,4013.29,4060.43,44.21,1.1,2433218690
SPI@SPX,20230125,3982.71,4019.55,3949.06,4016.22,-0.73,-0.02,2416051840
SPI@SPX,20230124,4001.74,4023.92,3989.79,4016.95,-2.86,-0.07,2091229710
SPI@SPX,20230123,3978.14,4039.31,3971.64,4019.81,47.2,1.19,2469899900
SPI@SPX,20230120,3909.04,3972.96,3897.86,3972.61,73.76,1.89,2617398550
SPI@SPX,20230119,3911.84,3922.94,3885.54,3898.85,-30.01,-0.76,2465301680
SPI@SPX,20230118,4002.25,4014.16,3926.59,3928.86,-62.11,-1.56,2545980650
SPI@SPX,20230117,3999.28,4015.39,3984.57,3990.97,-8.12,-0.2,2498747930
SPI@SPX,20230113,3960.6,4003.95,3947.67,3999.09,15.92,0.4,2305897850
SPI@SPX,20230112,3977.57,3997.76,3937.56,3983.17,13.56,0.34,2468826680
SPI@SPX,20230111,3932.35,3970.07,3928.54,3969.61,50.36,1.28,2354204880
SPI@SPX,20230110,3888.57,3919.83,3877.29,3919.25,27.16,0.7,2141504910
SPI@SPX,20230109,3910.82,3950.57,3890.42,3892.09,-2.99,-0.08,2500082780
SPI@SPX,20230106,3823.37,3906.19,3809.56,3895.08,86.98,2.28,2468430650
SPI@SPX,20230105,3839.74,3839.74,3802.42,3808.1,-44.87,-1.16,2259316690
SPI@SPX,20230104,3840.36,3873.16,3815.77,3852.97,28.83,0.75,2595164540
SPI@SPX,20230103,3853.29,3878.46,3794.33,3824.14,-15.36,-0.4,2353396980
SPI@SPX,20221230,3829.06,3839.85,3800.34,3839.5,-9.78,-0.25,1706136060
SPI@SPX,20221229,3805.45,3858.19,3805.45,3849.28,66.06,1.75,1735156620
SPI@SPX,20221228,3829.56,3848.32,3780.78,3783.22,-46.03,-1.2,1740055220
SPI@SPX,20221227,3843.34,3846.65,3813.22,3829.25,-15.57,-0.4,1744900170
SPI@SPX,20221223,3815.11,3845.8,3797.01,3844.82,22.43,0.59,1579126770
SPI@SPX,20221222,3853.26,3853.26,3764.49,3822.39,-56.05,-1.45,2365338670
SPI@SPX,20221221,3839.49,3889.82,3839.49,3878.44,56.82,1.49,2148847360
SPI@SPX,20221220,3810.47,3838.24,3795.62,3821.62,3.96,0.1,2209956560
SPI@SPX,20221219,3853.79,3854.86,3800.04,3817.66,-34.7,-0.9,2299211170
SPI@SPX,20221216,3890.91,3890.91,3827.91,3852.36,-43.39,-1.11,5089538350
SPI@SPX,20221215,3958.37,3958.37,3879.45,3895.75,-99.57,-2.49,2703927280
SPI@SPX,20221214,4015.54,4053.76,3965.65,3995.32,-24.33,-0.61,2603890540
SPI@SPX,20221213,4069.38,4100.96,3993.03,4019.65,29.09,0.73,3087952330
SPI@SPX,20221212,3939.29,3990.71,3935.3,3990.56,56.18,1.43,2285904830
SPI@SPX,20221209,3954.17,3977.02,3933.04,3934.38,-29.13,-0.73,2123231340
SPI@SPX,20221208,3947.79,3974.19,3935.83,3963.51,29.59,0.75,2157778240
SPI@SPX,20221207,3933.28,3957.57,3922.68,3933.92,-7.34,-0.19,2263753220
SPI@SPX,20221206,3996.63,4001.51,3918.39,3941.26,-57.58,-1.44,2367140660
SPI@SPX,20221205,4052.02,4052.45,3984.49,3998.84,-72.86,-1.79,2278161210
SPI@SPX,20221202,4040.17,4080.48,4026.63,4071.7,-4.87,-0.12,2076416490
SPI@SPX,20221201,4087.14,4100.51,4050.87,4076.57,-3.54,-0.09,2319414990
